player_id,player_name,team,rushing_yds,receptions,receiving_yds,fumbles,touchdowns
4b0a90db-f007-4ac1-8542-b531342b9da5,Ke'Shawn Vaughn,TB,0,0,0,0,0
4d3f2f57-215c-4cb4-bf75-a7ecdcdded70,Rachaad White,TB,47,13,96,1,1
5c424ecf-07c8-471e-a400-8d5f834af2e0,Patrick Laird,TB,0,0,0,0,0
7f46a7be-286e-4bfe-8778-d03dbe600ce9,Leonard Fournette,TB,343,32,232,0,4
6b2ee61f-463f-478a-9bfa-e43c8e9b0c2e,Avery Williams,ATL,54,5,26,0,1
77921652-c664-4511-91c7-77027bbb2647,Caleb Huntley,ATL,152,0,0,0,1
81b98a40-ca69-11ec-a83a-8732d3d5a7e3,BJ Baylor,ATL,0,0,0,0,0
90908a56-901b-466d-8689-943075da96fe,Damien Williams,ATL,2,0,0,0,0
da85107c-365c-4d58-90ab-479d97d798b4,Cordarrelle Patterson,ATL,340,4,28,0,3
f4529909-1a02-4f4b-a1f3-315cad100683,Tyler Allgeier,ATL,235,2,25,0,0
02779042-2b4e-4fa9-b598-364fe01b523a,D'Onta Foreman,CAR,37,0,0,0,0
0fe5d2c8-9cf4-4983-b160-468362c1a23c,Spencer Brown,CAR,0,0,0,0,0
32205e74-b23f-420a-b312-465b29260745,Chuba Hubbard,CAR,34,1,1,1,0
f64a23e0-d457-11ec-9026-65785f74dc2a,Raheem Blackshear,CAR,0,0,0,0,0
f96db0af-5e25-42d1-a07a-49b4e065b364,Christian McCaffrey,CAR,393,33,277,0,3
30ff46bc-a039-4af7-9050-81af98901a3e,Dwayne Washington,NO,18,0,0,0,0
4b09ab09-1457-4c9d-a99d-6a03d8e76c76,Jordan Howard,NO,0,0,0,0,0
8da63045-f139-4422-9bd7-efe46c7fcf13,Jake Funk,NO,0,0,0,0,0
d9c857b2-97da-4fb8-a527-afbbb2a67413,Alvin Kamara,NO,302,17,135,2,0
f336567d-44a9-4245-8452-1dd485fd70fb,Mark Ingram II,NO,190,7,28,2,1
052cdbeb-f758-4110-ac1a-675cd0335db9,Tyrion Davis-Price,SF,33,0,0,0,0
413f7971-4d5b-496d-a11b-f623e9bc3b7c,Marlon Mack,SF,0,0,0,0,0
5827b78b-5150-4ba9-bc46-902428e99a31,Tevin Coleman,SF,26,3,44,0,2
72cf3127-3953-4fd8-8049-3de1b6fa9825,Jeff Wilson Jr.,SF,400,8,70,2,2
8ba68abf-e9d2-4927-bf8d-476f271d840c,Elijah Mitchell,SF,41,0,0,0,0
af9f7390-ca80-11ec-97ae-e1573849d1a6,Jordan Mason,SF,7,0,0,0,0
1dc6b133-355f-451e-856f-d02839681578,Jonathan Ward,ARI,0,0,0,0,0
28a084c0-14df-499f-bd1f-b975603626b7,James Conner,ARI,200,14,103,1,1
69568326-f210-4b88-a5cb-10376c64893e,Corey Clement,ARI,0,0,0,0,0
9b212b70-ccc3-4c77-ba73-09afeb929225,Keaontay Ingram,ARI,7,0,0,0,0
9e31f935-1e60-437d-9859-e1f2bb936aa5,Ty'Son Williams,ARI,0,0,0,0,0
aebf7b65-da15-4499-b1af-6687fa50b2e4,Eno Benjamin,ARI,173,15,125,0,1
c2a19a09-74a2-4ace-8cc3-6dfb65070a70,Darrel Williams,ARI,94,2,3,0,1
0e7e6cbb-0e88-4a74-b457-1753851e37f3,Malcolm Brown,LA,15,1,13,0,0
19d44771-8f1d-4127-9b7d-230da137f15d,Kyren Williams,LA,0,0,0,0,0
246db560-cb4e-11ec-a667-6354702e3fca,Ronnie Rivers,LA,0,1,14,0,0
380c4d9b-d4c8-456c-ba50-25519edde899,Darrell Henderson Jr.,LA,181,14,77,0,2
74980532-8158-4b56-91db-5053878737b4,Cam Akers,LA,151,2,18,1,1
22ee9bac-a64c-4d44-94fc-51d775465b3b,Kenneth Walker III,SEA,243,8,27,0,2
2b119688-83b5-4d19-acbf-fa2087035fae,Rashaad Penny,SEA,346,4,16,1,2
48ef5bfa-7b91-4ed1-ad12-e94c0bc101c2,DeeJay Dallas,SEA,26,3,23,0,0
4afb77d8-4564-469b-be4c-5a8587df8046,Travis Homer,SEA,18,4,33,0,0
83d4c4c3-3c40-49b1-8b86-25d256a0b5ad,Tony Jones Jr.,SEA,8,2,12,0,0
a1a73c32-c409-4ee0-8a7b-0ae589db85c8,Darwin Thompson,SEA,0,0,0,0,0
be8e5962-f2d9-4316-9fdf-212a95dbb590,Godwin Igwebuike,SEA,0,0,0,0,0
