player_id,player_name,team,passing_yds,rushing_yds,turnovers,pass_touchdowns,rush_touchdowns
409d4cac-ee90-4470-9710-ebe671678339,Russell Wilson,DEN,1442,96,4,5,1
73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,Josh Johnson,DEN,0,0,0,0,0
9ab44516-2a26-4049-b630-66539c7a5dfd,Brett Rypien,DEN,0,0,0,0,0
0045a36c-f464-49e0-a25a-9210edc94bc1,Chase Daniel,LAC,0,0,0,0,0
af291d43-a51f-44ce-b8ac-430ec68c78c8,Easton Stick,LAC,0,0,0,0,0
f0a8f8e3-b9e9-46ed-85e4-eec6452a8a44,Justin Herbert,LAC,1716,26,4,10,0
11cad59d-90dd-449c-a839-dddaba4fe16c,Patrick Mahomes,KC,1736,113,5,17,0
7078cdfc-032b-4f85-8b4b-720f926ba1cb,Chris Oladokun,KC,0,0,0,0,0
d7c63db7-dfe8-4cd6-a684-90342d12fa26,Shane Buechele,KC,0,0,0,0,0
f55053e4-4bfd-495d-981a-d62e3662f01b,Chad Henne,KC,0,0,1,0,0
582fe465-135a-4901-beef-60aebce99067,Jarrett Stidham,LV,0,0,0,0,0
9f026fc0-4449-4dc5-a226-2e2830619381,Derek Carr,LV,1279,69,6,8,0
f0a26520-d3a2-11ec-96a0-c3471a31202c,Chase Garbers,LV,0,0,0,0,0
1b3d350a-478b-4542-a430-d12cc96adc22,Case Keenum,BUF,8,0,0,0,0
3069db07-aa43-4503-ab11-2ae5c0002721,Josh Allen,BUF,1980,257,9,17,2
da7cb0cc-543e-47d5-b29a-2ba2b341bd14,Matt Barkley,BUF,0,0,0,0,0
26ad9c27-de38-495e-913c-6fb2428e76d3,Tua Tagovailoa,MIA,1035,1,4,8,0
5ba2c367-a293-4d83-9268-a0e392ebca1a,Skylar Thompson,MIA,255,9,2,0,0
7debccec-8ec2-443a-b4a7-a52f14464883,Reid Sinnett,MIA,0,0,0,0,0
d4cb52a9-f6b4-42ed-b40b-27bff5f1eea7,Teddy Bridgewater,MIA,522,21,3,3,0
17bb63b1-1b0e-48e1-baf7-55cd314d0e62,Zach Wilson,NYJ,572,18,2,1,1
23461354-f2d7-4e36-9046-fe9cde6dd413,Chris Streveler,NYJ,0,0,0,0,0
64797df2-efd3-4b27-86ee-1d48f7edb09f,Joe Flacco,NYJ,901,6,7,5,0
f4808328-86e9-459d-a2bc-18e90c7d211e,Mike White,NYJ,0,0,0,0,0
14926860-abef-45a9-b8f6-e66103ca6029,Bailey Zappe,NE,596,1,4,4,0
1fd00ec3-b758-46d2-a2c1-cca521ea8a54,Mac Jones,NE,786,37,6,2,1
56073e7b-84ca-4d4a-a2e7-1bfc0277e8d4,Garrett Gilbert,NE,0,0,0,0,0
af4ba620-2f00-4b00-9111-7897f2b1cde8,Brian Hoyer,NE,37,0,0,0,0
59f4acd0-971a-4470-ab8d-17900a4b128a,Sam Ehlinger,IND,0,0,0,0,0
7e648a0b-fdc8-4661-a587-5826f2cac11b,Matt Ryan,IND,1765,9,18,8,0
c8232b55-6617-4dd9-a7cf-cf14cd9a29ab,Nick Foles,IND,0,0,0,0,0
0d1c4a90-cd6d-11ec-8737-9957c846cd93,E.J. Perry,JAC,0,0,0,0,0
6608fdbf-6c93-47cc-ad44-9da2fda598ce,C.J. Beathard,JAC,0,-1,0,0,0
aaa8b42c-4d87-45f6-bfd2-e31cfed9a736,Trevor Lawrence,JAC,1397,81,8,9,2
4d517d8f-fe4d-4c89-9a2a-fee836ba4a71,Jeff Driskel,HOU,0,15,0,0,0
7d51fab7-2d52-4d19-a021-19a123af0d10,Davis Mills,HOU,1048,2,8,5,0
d2023f5b-f73b-43ad-a816-f10dadfdfaed,Kyle Allen,HOU,0,0,0,0,0
55aefcf9-4dfb-4994-883f-4d537a6f1ddb,Malik Willis,TEN,6,16,1,0,0
5812204c-6dae-4450-8011-99e0f72864ac,Ryan Tannehill,TEN,965,23,4,6,1
ddff375b-365e-4af1-b9ae-58d03b1b1195,Logan Woodside,TEN,0,0,0,0,0
