player_id,player_name,team,rushing_yds,receptions,receiving_yds,fumbles,touchdowns
682eda79-0026-4ad8-8f45-a61ce42cb908,Josh Reynolds,DET,0,23,335,0,2
8261c380-132b-11ed-86b5-f9dfd114f830,Maurice Alexander,DET,0,0,0,0,0
c2a7bd8a-d141-423a-8810-0988a59ff0b4,D.J. Chark,DET,0,7,98,0,1
dc51b38c-dc82-44ee-a88b-764d681ce58a,Tom Kennedy,DET,0,3,54,0,0
e0a31d02-9d1c-4dab-adb4-a5d9bbee8b36,Kalif Raymond,DET,3,9,87,1,0
02c808d8-6074-43db-b0d9-f69fab78f6d9,Samori Toure,GB,0,0,0,0,0
030f3ecf-f32f-497d-96a8-8f28d44fc311,Travis Fulgham,GB,0,0,0,0,0
3283f152-d373-43b3-b88f-f6f261c48e81,Randall Cobb,GB,0,18,257,1,0
47d97f44-b4aa-46d2-816c-5b5a1fe48d46,Christian Watson,GB,19,7,52,0,1
5f559fde-3a5f-4df6-99a2-cd1a4b103c68,Romeo Doubs,GB,11,26,234,2,2
6a23db75-021b-4808-99e6-21a33d34202b,Allen Lazard,GB,0,20,285,0,4
7d80b51f-1462-442e-aa7f-8c320a62deed,Sammy Watkins,GB,0,6,111,0,0
e47ca6ed-c988-4cad-b4a4-181c67463748,Amari Rodgers,GB,0,1,14,2,0
ed8d8820-4343-43cc-b41f-b98439923bef,Kawaan Baker,GB,0,0,0,0,0
fa7bdbe5-23b9-4cba-9015-98c5e2d09c9e,Juwann Winfree,GB,0,1,17,0,0
061ca100-c957-11ec-b1d2-d334745b4f4f,Thomas Hennigan,MIN,0,0,0,0,0
06ff7f42-5fe7-4899-84a5-9ba5349d17e8,Jalen Reagor,MIN,17,3,10,2,1
2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4,Adam Thielen,MIN,0,29,284,0,2
3bf5c049-9daa-43ba-9758-c6c895a9d462,K.J. Osborn,MIN,-1,19,177,0,1
3f9e3634-54d7-46a4-bf26-67274500c907,Jalen Nailor,MIN,0,1,13,0,0
4131d4ee-0318-4bb5-832a-4dec80668a4f,Justin Jefferson,MIN,3,46,654,0,3
814e9529-e00f-4d02-925b-158ba1c6f840,Bisi Johnson,MIN,0,0,0,0,0
92529995-41e9-48db-b429-c96540ad357b,Dan Chisena,MIN,0,0,0,0,0
9a2cd41e-a6e8-42d6-aad4-65c42939d733,Trishton Jackson,MIN,0,0,0,0,0
b4a3566b-d533-4860-9133-c7e6ac22ab65,Blake Proehl,MIN,0,0,0,0,0
