player_id,player,team,position,injury,week_injured
708e045b-17fd-4f81-87e3-8686b165a278,Jayron Kearse,DAL,SAF,Neck,1
0dbbd211-0372-4751-9751-e4df4ab1f8eb,Salvon Ahmed,MIA,RB,Heel,1
4f2ecf70-d3b2-11ec-96a0-c3471a31202c,Tanner Conner,MIA,TE,Knee,1
03e6a751-5206-4f9e-8ffa-f92672f7c159,Nik Needham,MIA,CB,Quad,1
30b045f1-b8e4-4ae9-b062-5181847b508c,Eric Rowe,MIA,SAF,Pec,1
7b47d190-168b-44bc-bb91-a688fe28f768,Andrew Van Ginkel,MIA,LB,Illness,1
9666a6bd-4321-4acd-823e-b872943a436e,Raekwon Davis,MIA,DT,Knee,1
7ade135c-0760-4548-b7d9-cf1174e2be33,Alec Ingold,MIA,FB,Hamstring,1
96d94c76-9563-460a-91e5-47b99f29587b,Connor Williams,MIA,OL,Knee,1
cc67f4a1-99e9-48a9-84f4-245d7425ba6f,Ola Adeniyi,TEN,OLB,Neck,1
acbf5978-d7da-4d01-8f1d-22dd65d4484c,Lonnie Johnson,TEN,CB,Groin,1
7c84bbbd-6bc1-4d3a-8fe9-263b807a08b2,Jamarco Jones,TEN,OL,Triceps,1
318b263d-8910-4e46-afe3-5860092ab260,Velus Jones Jr.,CHI,WR,Hamstring,1
0642a1f6-70cc-4540-8fb4-d45d85513b33,Dominique Robinson,CHI,DL,Knee,1
e2aa4576-83a6-4b81-ab95-49126a0cf1d4,Darren Hall,ATL,CB,Quad,1
5053f9ae-15d9-4730-833d-484886b6f890,Drake London,ATL,WR,Knee,1
c65b8d70-ac93-4782-996a-ef96fd11047c,Tre'Quan Smith,NO,WR,Groin,1
30ff46bc-a039-4af7-9050-81af98901a3e,Dwayne Washington,NO,RB,Hamstring,1
054cf859-2cf7-4621-a98e-b440e66508a5,Paulson Adebo,NO,CB,Ankle,1
6dc7a6f8-f84a-4d55-a76f-66377ad038fe,Landon Young,NO,T,Hip,1
90c1756d-1f47-41b7-89fe-b113c9850bc1,Michael Thomas,NO,WR,Hamstring,1
b2fc64a2-3df5-4f65-92e7-922d41723bef,Erik McCoy,NO,OL,Calf,1
8c8b7d6e-6ed8-4a10-8ae9-b50300bd766b,Tyrann Mathieu,NO,FS,Illness,1
09bdc469-0d82-4bce-8d49-810a44a550da,Pete Werner,NO,LB,Groin,1
e0248ecc-27b4-4368-bf97-47a73cb41ec2,J.T. Gray,NO,DB,Hamstring,1
0e7d7ddc-6515-4034-8857-5ab9da6b7c25,Jack Conklin,CLE,T,Knee,1
1bbe7ce0-3707-4d4d-b8f6-7577008f1763,Grant Delpit,CLE,SAF,Hip,1
07dbf3ec-0d6b-42f1-a2e8-7dd437339417,A.J. Green,CLE,CB,Hip,1
9b96ef63-04bd-41ae-b59c-acc0f2561d19,Ronnie Harrison Jr.,CLE,SAF,Hamstring,1
ffa1d197-25af-43a9-ae61-05ab20a0a5be,Chris Hubbard,CLE,T,Elbow,1
9516c4dd-3c2a-4e5d-8b0c-415b5ecf5a2d,Isaiah Thomas,CLE,DE,Hand,1
5d235c9b-8d01-44a7-a3ec-b5c7bd4491ee,Chase Winovich,CLE,DE,Hamstring,1
70c462de-b1b5-4c07-8ba2-eb33f3075893,Michael Woods II,CLE,WR,Hamstring,1
016d31ec-9b32-47e2-801b-9724c0a30f62,Jadeveon Clowney,CLE,DE,Illness,1
1306d6f4-5de3-4bec-9c86-3e5ab8e2d081,Dennis Kelly,IND,T,Knee,1
f9a138e3-829d-442f-8345-43d1cdbac225,Shaquille Leonard,IND,LB,Back,1
abb612d4-f5b9-4644-b9ed-f13fa0da7e98,Deon Bush,KC,DB,Foot,1
490c15eb-accc-4441-be7d-c7114e1e42fc,Frank Clark,KC,DE,Illness,1
96d1c6e6-a450-476e-987b-c1e469c43f1b,Malik Herring,KC,DE,Abdomen,1
382bf27a-8afb-4ffe-b7b8-9a960b98049a,Trey Smith,KC,OL,Shoulder,1
9547fbb1-0d4f-4d9e-83b9-e2fa30463bb9,JuJu Smith-Schuster,KC,WR,Knee,1
650c8ab6-958d-47b6-bdc0-62fe852a4f10,Darian Kinnard,KC,T,Elbow,1
244c00c7-fe9a-4f4f-adff-1d5b9c8877e7,Diontae Johnson,PIT,WR,Shoulder,1
c1ea7946-fb7a-4a5b-9ed1-c58caf7f8faf,Marcus Allen,PIT,LB,Hamstring,1
a4e669b3-32f3-4762-8b01-df6ef8dd0e51,Chukwuma Okorafor,PIT,OL,Back,1
62e96d7c-e4dd-4a90-8c3a-8017eb69120d,Connor Heyward,PIT,TE,Coach's Decision,1
f32c4441-b0de-4bbe-a9cf-d7b88acaefe7,Tommy Doyle,BUF,T,Foot,1
6130be96-edf3-4361-b666-860c4ec46e7d,Isaiah McKenzie,BUF,WR,Groin,1
eab74cbc-ed11-46b3-bd16-1d4c997adc22,Quintin Morris,BUF,TE,Hamstring,1
95fab6fa-3ee1-47d0-93ad-c7ff41744be7,Jordan Poyer,BUF,SAF,Elbow,1
8442c8f8-7fbb-4a0b-8407-355c2dfdf72c,Tim Settle,BUF,DT,Calf,1
a1c40664-b265-4083-aad2-54b4c734f2c5,Stefon Diggs,BUF,WR,Rest,1
6dbc1c10-83ed-40ba-b747-365ef1c0623a,Shaun Wade,NE,CB,Ankle,1
73e194d1-a4b7-4de4-b1c2-3c24ef502918,Jakobi Meyers,NE,WR,Knee,1
0c39e276-7a5b-448f-a696-532506f1035a,Ty Montgomery,NE,WR,Knee,1
27b1ba46-842b-4bca-a434-56c60102c1b5,Isaiah Wynn,NE,OL,Back,1
8a6825e8-2657-487b-ac69-620a89d7a0cd,Joshuah Bledsoe,NE,SAF,Groin,1
9c21e9af-681c-41ef-9b00-fbc9e1668ed1,Marcedes Lewis,GB,TE,NIR,1
6a23db75-021b-4808-99e6-21a33d34202b,Allen Lazard,GB,WR,Ankle,1
b5d116d8-11d4-43b1-8f0b-9a3ba26648c9,Elgton Jenkins,GB,G,Pec,1
e1b066fb-d077-42a3-9f5d-4ed560c9d777,Darnell Savage,GB,SAF,Hamstring,1
7c9c7800-69d0-459b-812b-a07ac48e9f2a,Robert Tonyan,GB,TE,Knee,1
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,Mason Crosby,GB,K,Knee,1
fa797d7d-4537-4e2e-8fd1-cd8831894092,Tipa Galeai,GB,LB,Elbow,1
4d224244-dbb8-49db-b8d9-8bb974cea82e,Jake Hanson,GB,C,Shoulder,1
c281fdc7-76a9-4734-a13d-19ad354c67db,Dallin Leavitt,GB,SAF,Shoulder,1
c589d918-f69f-4284-aa85-5f9c30e006a4,Yoshuah Nijman,GB,T,Knee,1
47d97f44-b4aa-46d2-816c-5b5a1fe48d46,Christian Watson,GB,WR,Knee,1
a750e7ca-12ab-4d7c-bc65-f58793c3ed16,David Bakhtiari,GB,T,Knee,1
eff8e3ec-98e4-49c8-b865-436e3abb0870,Kamren Curl,WAS,SAF,Thumb,1
f4f11bc2-2fe6-4da8-a83c-63085788e789,Cam Sims,WAS,WR,Concussion,1
b24625a0-d402-4d59-a778-aa4b073bfe5e,Logan Thomas,WAS,TE,Knee,1
fc78ba73-7ef3-4dda-9a06-b5101f7ff7b1,Cole Turner,WAS,TE,Hamstring,1
3208880b-949f-4926-85eb-1940770550ea,John Bates,WAS,TE,Calf,1
a1aa3c7c-7043-41a3-a522-a34a8ae3f085,Phidarian Mathis,WAS,DT,Ankle,1
96341b4d-152a-4020-b68a-3ff93e1baba5,Trai Turner,WAS,G,Quad,1
47b9a4ca-aad6-41a0-a1b1-d6b2091f0296,Kayvon Thibodeaux,NYG,OLB,Knee,1
78af6ab8-1003-423d-b29b-111d8f4d45ad,Azeez Ojulari,NYG,OLB,Calf,1
1ffc735b-74d8-44d2-ab32-00c5485c799f,Sterling Shepard,NYG,WR,Achilles,1
08696187-da1c-41d4-b156-9a9f844e4167,Dane Belton,NYG,SAF,Clavicle,1
689de342-1d99-4a4d-976d-f6573ef3a8c2,Giovanni Ricci,CAR,FB,Hip,1
7a981b1c-91ea-4c7a-8933-3ca98fc03020,Brandon Smith,CAR,LB,Thigh,1
f96db0af-5e25-42d1-a07a-49b4e065b364,Christian McCaffrey,CAR,RB,Shin,1
1c50997f-c56e-47f9-a750-33ab100ed28b,Eddy Pineiro,CAR,K,Left Hip,1
acc3f3fc-12b7-40b6-b773-b73b2b10cf32,Folorunso Fatukasi,JAC,DT,Calf,1
a7f7153a-c574-4f57-a8cb-760aba8eb629,Cam Robinson,JAC,OL,Ankle,1
6497034a-2855-4296-9781-ffab2819df14,Lewis Cine,MIN,SAF,Knee,1
ae4faec0-509d-4080-b5cb-d1a44d062858,Alexander Mattison,MIN,RB,NIR-Personal,1
ccfcbd2c-6e35-49b9-b131-ba2143665260,Jonathan Bullard,MIN,DL,Bicep,1
ea2fda83-2817-4884-9e85-973263a4e069,Mario Addison,HOU,DL,Thigh,1
9912fa7a-040d-40cf-99b5-0a7a28e0ba1a,Rasheem Green,HOU,DL,Thigh,1
c41a772c-8458-4f5d-b7b5-8c2a23406fa3,John Cominsky,DET,DE,Illness,1
2cf5f42b-7200-4c65-85d9-2b0e5b8696fa,Tommy Kraemer,DET,G,Back,1
0670801f-0ef3-46b6-ad6b-62475db6b787,Levi Onwuzurike,DET,DL,Back,1
07247409-1cf8-4e67-a05b-15de83ca1bf9,Chris Board,DET,LB,Knee,1
8c348caf-34d8-44a8-a781-fee8064ae258,Ifeatu Melifonwu,DET,SAF,Hamstring,1
e91734d9-8e7d-4e55-9027-e7c338cc809a,Julian Okwara,DET,OLB,Hamstring,1
44176cc9-9025-4dec-a790-fbfa57686a6c,Frank Ragnow,DET,C,Groin,1
bd1f047a-978f-4643-b55f-f4d3b0719a4e,Austin Seibert,DET,K,Right Groin,1
f26bd260-a1eb-42ab-8768-bc8ad24e4f9e,Duane Brown,NYJ,T,Shoulder,1
eb7f7d43-7837-400c-828c-bd5d609bca41,George Fant,NYJ,T,Knee,1
35150d4a-0dca-4daa-91b3-ffc46d44d1b8,Justin Hardee,NYJ,CB,Calf,1
6993aad2-269c-4211-bee7-2fcd324288c5,Conor McDermott,NYJ,OL,Ankle,1
17664e93-8236-4eb0-9505-4e71f43b5a7d,D.J. Reed,NYJ,CB,Knee,1
17bb63b1-1b0e-48e1-baf7-55cd314d0e62,Zach Wilson,NYJ,QB,Knee,1
8e1285f7-6e4c-41e4-aac9-92e09f9f32b2,Van Jefferson,LA,WR,Knee,1
